timestamp,machine_id,sensor_type,sensor_value,unit,status
2025-10-01T08:00:00Z,MCH_003,Temperature,72.15,°C,Warning
2025-10-01T08:05:00Z,MCH_011,Vibration,3.1,mm/s,Normal
2025-10-01T08:10:00Z,MCH_044,Pressure,3.58,bar,Normal
2025-10-01T08:15:00Z,MCH_047,Temperature,89.66,°C,Critical
2025-10-01T08:20:00Z,MCH_045,Temperature,72.61,°C,Warning
2025-10-01T08:25:00Z,MCH_022,Temperature,78.23,°C,Warning
2025-10-01T08:30:00Z,MCH_036,Temperature,59.6,°C,Normal
2025-10-01T08:35:00Z,MCH_050,Pressure,3.81,bar,Normal
2025-10-01T08:40:00Z,MCH_043,Pressure,5.84,bar,Critical
2025-10-01T08:45:00Z,MCH_041,Temperature,76.7,°C,Warning
2025-10-01T08:50:00Z,MCH_006,Temperature,56.83,°C,Normal
2025-10-01T08:55:00Z,MCH_034,Vibration,5.4,mm/s,Normal
2025-10-01T09:00:00Z,MCH_010,Temperature,72.63,°C,Warning
2025-10-01T09:05:00Z,MCH_026,Vibration,7.34,mm/s,Warning
2025-10-01T09:10:00Z,MCH_025,Vibration,3.71,mm/s,Normal
2025-10-01T09:15:00Z,MCH_029,Temperature,71.27,°C,Warning
2025-10-01T09:20:00Z,MCH_024,Pressure,2.35,bar,Normal
2025-10-01T09:25:00Z,MCH_030,Vibration,3.93,mm/s,Normal
2025-10-01T09:30:00Z,MCH_023,Vibration,8.74,mm/s,Warning
2025-10-01T09:35:00Z,MCH_007,Temperature,82.87,°C,Critical
2025-10-01T09:40:00Z,MCH_016,Pressure,4.58,bar,Warning
2025-10-01T09:45:00Z,MCH_047,Pressure,3.16,bar,Normal
2025-10-01T09:50:00Z,MCH_010,Temperature,85.52,°C,Critical
2025-10-01T09:55:00Z,MCH_008,Vibration,2.18,mm/s,Normal
2025-10-01T10:00:00Z,MCH_033,Pressure,2.98,bar,Normal
2025-10-01T10:05:00Z,MCH_049,Pressure,5.31,bar,Critical
2025-10-01T10:10:00Z,MCH_032,Temperature,60.11,°C,Normal
2025-10-01T10:15:00Z,MCH_033,Pressure,3.44,bar,Normal
2025-10-01T10:20:00Z,MCH_022,Temperature,58.53,°C,Normal
2025-10-01T10:25:00Z,MCH_045,Vibration,10.92,mm/s,Critical
2025-10-01T10:30:00Z,MCH_010,Pressure,2.53,bar,Normal
2025-10-01T10:35:00Z,MCH_020,Vibration,11.29,mm/s,Critical
2025-10-01T10:40:00Z,MCH_010,Pressure,3.94,bar,Normal
2025-10-01T10:45:00Z,MCH_008,Temperature,57.83,°C,Normal
2025-10-01T10:50:00Z,MCH_003,Pressure,5.24,bar,Critical
2025-10-01T10:55:00Z,MCH_005,Vibration,11.7,mm/s,Critical
2025-10-01T11:00:00Z,MCH_048,Pressure,5.8,bar,Critical
2025-10-01T11:05:00Z,MCH_038,Temperature,86.37,°C,Critical
2025-10-01T11:10:00Z,MCH_017,Vibration,6.85,mm/s,Normal
2025-10-01T11:15:00Z,MCH_011,Pressure,2.8,bar,Normal
2025-10-01T11:20:00Z,MCH_033,Vibration,4.02,mm/s,Normal
2025-10-01T11:25:00Z,MCH_018,Vibration,3.66,mm/s,Normal
2025-10-01T11:30:00Z,MCH_017,Vibration,7.02,mm/s,Warning
2025-10-01T11:35:00Z,MCH_016,Temperature,61.69,°C,Normal
2025-10-01T11:40:00Z,MCH_018,Pressure,2.83,bar,Normal
2025-10-01T11:45:00Z,MCH_041,Pressure,5.15,bar,Critical
2025-10-01T11:50:00Z,MCH_032,Pressure,4.14,bar,Warning
2025-10-01T11:55:00Z,MCH_038,Temperature,84.48,°C,Critical
